配件j,c_j,d_j,p_j,同半成品配件数,半成品平均单价,S,F_F,检测y
0,2,1,0.14376431999070005,3,7.333333333333333,248.6935181066533,23.719199326865418,1
1,8,1,0.14376431999070005,3,7.333333333333333,248.6935181066533,23.719199326865418,1
2,12,2,0.14376431999070005,3,7.333333333333333,248.6935181066533,23.719199326865418,0
3,2,1,0.14376431999070005,3,7.333333333333333,248.6935181066533,23.719199326865418,1
4,8,1,0.14376431999070005,3,7.333333333333333,248.6935181066533,23.719199326865418,1
5,12,2,0.14376431999070005,3,7.333333333333333,248.6935181066533,23.719199326865418,0
6,8,1,0.14376431999070005,2,10.0,248.6935181066533,23.719199326865418,1
7,12,2,0.14376431999070005,2,10.0,248.6935181066533,23.719199326865418,0
0,2,1,0.18103301680943928,3,7.333333333333333,150.57918350221323,24.994395714717456,1
1,8,1,0.18103301680943928,3,7.333333333333333,150.57918350221323,24.994395714717456,1
2,12,2,0.18103301680943928,3,7.333333333333333,150.57918350221323,24.994395714717456,1
3,2,1,0.18103301680943928,3,7.333333333333333,150.57918350221323,24.994395714717456,1
4,8,1,0.18103301680943928,3,7.333333333333333,150.57918350221323,24.994395714717456,1
5,12,2,0.18103301680943928,3,7.333333333333333,150.57918350221323,24.994395714717456,1
6,8,1,0.18103301680943928,2,10.0,150.57918350221323,24.994395714717456,1
7,12,2,0.18103301680943928,2,10.0,150.57918350221323,24.994395714717456,1
0,2,1,0.09545486402289705,3,7.333333333333333,180.62681733108508,9.136348454315488,1
1,8,1,0.09545486402289705,3,7.333333333333333,180.62681733108508,9.136348454315488,1
2,12,2,0.09545486402289705,3,7.333333333333333,180.62681733108508,9.136348454315488,1
3,2,1,0.09545486402289705,3,7.333333333333333,180.62681733108508,9.136348454315488,1
4,8,1,0.09545486402289705,3,7.333333333333333,180.62681733108508,9.136348454315488,1
5,12,2,0.09545486402289705,3,7.333333333333333,180.62681733108508,9.136348454315488,1
6,8,1,0.09545486402289705,2,10.0,180.62681733108508,9.136348454315488,1
7,12,2,0.09545486402289705,2,10.0,180.62681733108508,9.136348454315488,1
0,2,1,0.1330246028111739,3,7.333333333333333,259.50503117778317,24.194533737985086,1
1,8,1,0.1330246028111739,3,7.333333333333333,259.50503117778317,24.194533737985086,1
2,12,2,0.1330246028111739,3,7.333333333333333,259.50503117778317,24.194533737985086,1
3,2,1,0.1330246028111739,3,7.333333333333333,259.50503117778317,24.194533737985086,1
4,8,1,0.1330246028111739,3,7.333333333333333,259.50503117778317,24.194533737985086,1
5,12,2,0.1330246028111739,3,7.333333333333333,259.50503117778317,24.194533737985086,1
6,8,1,0.1330246028111739,2,10.0,259.50503117778317,24.194533737985086,1
7,12,2,0.1330246028111739,2,10.0,259.50503117778317,24.194533737985086,1
0,2,1,0.08229630473533986,3,7.333333333333333,167.6233237243629,19.151108919644862,0
1,8,1,0.08229630473533986,3,7.333333333333333,167.6233237243629,19.151108919644862,0
2,12,2,0.08229630473533986,3,7.333333333333333,167.6233237243629,19.151108919644862,0
3,2,1,0.08229630473533986,3,7.333333333333333,167.6233237243629,19.151108919644862,0
4,8,1,0.08229630473533986,3,7.333333333333333,167.6233237243629,19.151108919644862,0
5,12,2,0.08229630473533986,3,7.333333333333333,167.6233237243629,19.151108919644862,0
6,8,1,0.08229630473533986,2,10.0,167.6233237243629,19.151108919644862,0
7,12,2,0.08229630473533986,2,10.0,167.6233237243629,19.151108919644862,0
0,2,1,0.12723332304070556,3,7.333333333333333,201.2826627857818,27.680697649399864,1
1,8,1,0.12723332304070556,3,7.333333333333333,201.2826627857818,27.680697649399864,1
2,12,2,0.12723332304070556,3,7.333333333333333,201.2826627857818,27.680697649399864,1
3,2,1,0.12723332304070556,3,7.333333333333333,201.2826627857818,27.680697649399864,1
4,8,1,0.12723332304070556,3,7.333333333333333,201.2826627857818,27.680697649399864,1
5,12,2,0.12723332304070556,3,7.333333333333333,201.2826627857818,27.680697649399864,1
6,8,1,0.12723332304070556,2,10.0,201.2826627857818,27.680697649399864,1
7,12,2,0.12723332304070556,2,10.0,201.2826627857818,27.680697649399864,1
0,2,1,0.12453101530902565,3,7.333333333333333,177.22664142300638,2.330232715190164,1
1,8,1,0.12453101530902565,3,7.333333333333333,177.22664142300638,2.330232715190164,1
2,12,2,0.12453101530902565,3,7.333333333333333,177.22664142300638,2.330232715190164,0
3,2,1,0.12453101530902565,3,7.333333333333333,177.22664142300638,2.330232715190164,1
4,8,1,0.12453101530902565,3,7.333333333333333,177.22664142300638,2.330232715190164,1
5,12,2,0.12453101530902565,3,7.333333333333333,177.22664142300638,2.330232715190164,1
6,8,1,0.12453101530902565,2,10.0,177.22664142300638,2.330232715190164,1
7,12,2,0.12453101530902565,2,10.0,177.22664142300638,2.330232715190164,1
0,2,1,0.08009100859804928,3,7.333333333333333,190.64899416624274,2.1045587774581267,1
1,8,1,0.08009100859804928,3,7.333333333333333,190.64899416624274,2.1045587774581267,1
2,12,2,0.08009100859804928,3,7.333333333333333,190.64899416624274,2.1045587774581267,0
3,2,1,0.08009100859804928,3,7.333333333333333,190.64899416624274,2.1045587774581267,1
4,8,1,0.08009100859804928,3,7.333333333333333,190.64899416624274,2.1045587774581267,1
5,12,2,0.08009100859804928,3,7.333333333333333,190.64899416624274,2.1045587774581267,0
